Availability,Target,ProdYear,Month
89%,85%,2026,Aug
91%,85%,2026,Sep
90%,85%,2026,Oct
95%,85%,2026,Nov
95%,85%,2026,Dec
86%,85%,2026,Jan
86%,85%,2026,Feb
