Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,99.0%,100.0%,99.0%,92.0%,96.0%,97.2%,
RT,88.0%,90.0%,92.0%,96.0%,91.0%,91.4%,
SR,70.0%,95.0%,88.0%,93.0%,86.0%,86.4%,
DT Diesel,86.0%,98.0%,92.0%,85.0%,80.0%,88.2%,
FL Diesel,98.0%,98.0%,99.0%,100.0%,100.0%,99.0%,
Average,,,,,,92.4%,
