Availability,Target,ProdYear,Month
68%,85%,2026,Aug
84%,85%,2026,Sep
77%,85%,2026,Oct
78%,85%,2026,Nov
82%,85%,2026,Dec
73%,85%,2026,Jan
77%,85%,2026,Feb
