Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
DT,70.0%,70.0%,74.0%,66.0%,79.0%,71.8%,FL102 repair leaks and DT120 lubrication
FL,89.0%,65.0%,70.0%,71.0%,88.0%,76.6%,
HD,90.0%,86.0%,82.0%,98.0%,92.0%,89.6%,
RT,81.0%,76.0%,94.0%,87.0%,91.0%,85.8%,
SR,90.0%,96.0%,88.0%,74.0%,77.0%,85.0%,
