Date,Area_Owner,TMM_No,Model,Status,Remarks,OEM_Assistance
Monday Utility Section 09-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Monday Utility Section 09-02-2026,Plant Fitter,LD0620,,Not Available,"Strata (Surface decline & No acces to the gat, its locked ) - (SOS - EOS)",
Monday Utility Section 09-02-2026,Logistics,UV0078,,Not Available,Rear axle -  (SOS - EOS),
Monday Utility Section 09-02-2026,Logistics,UV0045,,Not Available,Brakes locked @ NCH2 - (SOS - EOS),
Tuesday Utility Section 10-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Tuesday Utility Section 10-02-2026,Plant Fitter,LD0452,,Not Available,Overheating - (SOS - EOS),
Tuesday Utility Section 10-02-2026,Plant Fitter,LD0620,,Not Available,Strata (Surface decline) - (SOS - EOS),
Tuesday Utility Section 10-02-2026,Logistics,UV0078,,Not Available,Brakes leaking(rear axle) - (SOS - EOS),
Wednesday Utility Section 11-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Wednesday Utility Section 11-02-2026,Main West,LD0520,,Not Available,Wiring - (SOS - EOS),
Wednesday Utility Section 11-02-2026,Plant Fitter,LD0620,,Not Available,Strata (Surface decline) - (SOS - EOS),
Wednesday Utility Section 11-02-2026,Logistics,UV0078,,Not Available,Propshaft - (SOS - EOS),Ordered 06 Oct 2025 (No stock at fermel)
Thursday Utility Section 12-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Thursday Utility Section 12-02-2026,Main West,LD0520,,Not Available,Front axle making noise - (SOS - EOS),
Thursday Utility Section 12-02-2026,Utility TMM,LD0573,,Not Available,Oil drain plug threats are stripped out - (SOS - EOS),
Thursday Utility Section 12-02-2026,Plant Fitter,LD0620,,Not Available,"Strata (Surface decline & No acces to the gat, its locked ) - (SOS - EOS)",
Thursday Utility Section 12-02-2026,Logistics,UV0078,,Not Available,Propshaft - (SOS - EOS),Ordered 06 Oct 2025 (No stock at fermel)
Thursday Utility Section 12-02-2026,Hyd Fitter,UV0091,,Not Available,Wiring - (SOS - 12:36) I - Tag not box not working - (12:36 - EOS),
Friday Utility Section 13-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Friday Utility Section 13-02-2026,Plant Fitter,LD0620,,Not Available,"Strata (Surface decline & No acces to the gat, its locked ) - (SOS - EOS)",
Friday Utility Section 13-02-2026,Logistics,UV0078,,Not Available,Rear axle -  (SOS - EOS),
