Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
DT,85.0%,86.0%,60.0%,74.0%,73.0%,73.0%,Wiring HD0065
FL,80.0%,99.0%,79.0%,76.0%,99.0%,99.0%,
HD,76.0%,87.0%,69.0%,78.0%,85.0%,85.0%,
RT,85.0%,100.0%,94.0%,89.0%,91.0%,91.0%,
SR,100.0%,99.0%,91.0%,89.0%,88.0%,88.0%,
