Fleet,Planned,Actual,Compliance,Target,Compliance %,Reasons for Non-Compliance
FL,,,#DIV/0!,0.95,#DIV/0!,
DT,2,2,1,0.95,100.0%,DT0153; DT0173
HD,2,2,1,0.95,100.0%,HD0060; HD0048
RT,2,2,1,0.95,100.0%,RT0046; RT0060
SR,,,#DIV/0!,0.95,#DIV/0!,
UV Emulsion Units,,,#DIV/0!,0.95,#DIV/0!,
Support Equipment,2,1,0.5,0.95,50.0%,Weekly Quality Service Report
