Day,Date,Feed Rate,Feed Rate Target,Actual Rate,Tons Hoisted,Hours to Hoist,Delays (Hours)
Friday,FRIDAY,46045.00,699.47,523.00,,,100.00
Saturday,SATURDAY,46046.00,714.01,523.00,,,100.00
Sunday,SUNDAY,46047.00,689.99,523.00,,,100.00
Monday,MONDAY,46048.00,678.34,523.00,,,100.00
Tuesday,TUESDAY,46049.00,694.13,523.00,,,100.00
Wednesday,WEDNESDAY,46050.00,670.05,523.00,,,100.00
Thursday,THURSDAY,46051.00,707.69,523.00,,,100.00
