Fleet,Planned,Actual,Compliance,Target,Compliance %,Reasons for Non-Compliance
DT,2,2,1,1,100.0%,
FL,2,1,0.5,1,50.0%,25002316/A7
HD,2,2,1,1,100.0%,
RT,2,2,1,1,100.0%,
SR - Service Compliance,0,0,,1,,
Support Equipment,5,4,0.8,1,80.0%,FL0100 is still on breakdown
SR - Weekly Inspection ,8,8,1,1,100.0%,
