Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,92.0%,82.0%,95.0%,98.0%,96.0%,92.6%,
RT,67.0%,80.0%,76.0%,92.0%,81.0%,79.2%,RT0037 - ENGINE OIL COOLER
SR,75.0%,75.0%,65.0%,75.0%,91.0%,76.2%,SR0040 - STRATA (WIRING) and EXHAUST; SR0037 - PETROMAN & STRATA
DT Diesel,99.0%,69.0%,76.0%,77.0%,78.0%,79.8%,DT0174 - NOT SELECTING GEARS
FL Diesel,95.0%,83.0%,100.0%,100.0%,94.0%,94.4%,
Average,,,,,,84.4%,
