Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,85.0%,100.0%,89.0%,86.0%,90.0%,90.0%,
RT,92.0%,100.0%,87.0%,83.0%,93.0%,91.0%,
SR,100.0%,98.0%,100.0%,91.0%,94.0%,96.6%,
DT Diesel,81.0%,75.0%,78.0%,69.0%,92.0%,79.0%,FL0093 Steering
FL Diesel,92.0%,73.0%,59.0%,80.0%,80.0%,76.8%,HD0066 Service 07/03/2026
Average,,,,,,86.7%,
