Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
DT,99.0%,97.0%,86.0%,74.0%,75.0%,86.2%,
FL,81.0%,97.0%,83.0%,83.0%,91.0%,87.0%,
HD,88.0%,93.0%,94.0%,93.0%,95.0%,92.6%,
RT,94.0%,94.0%,83.0%,98.0%,91.0%,92.0%,
SR,91.0%,97.0%,93.0%,91.0%,86.0%,91.6%,
