Date,Area_Owner,TMM_No,Model,Status,Remarks,OEM_Assistance
Monday Utility Section 23-02-2026,Plant Fitter,BB0002,,Partial (76.0%),2 x tyre Change - (10:07 - 12:02),
Monday Utility Section 23-02-2026,Exploisive,LD0319,,Partial (73.5%),Petroman - (08:10 -10:17),
Monday Utility Section 23-02-2026,BEV,LD0375,,Not Available,Clutch / Missing shock - (SOS - EOS),
Monday Utility Section 23-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Monday Utility Section 23-02-2026,Electricians,LD0445,,Partial (60.2%),Puncture - (10:49 - EOS),
Monday Utility Section 23-02-2026,Plant Fitter,LD0452,,Partial (70.8%),Not Starting - (09:07 - 11:27),
Monday Utility Section 23-02-2026,Main West,LD0520,,Not Available,Front axle - (SOS - EOS),Building axle from two scrapped fermels(No avail axle)
Monday Utility Section 23-02-2026,Electricians,LD0569,,Partial (15.0%),Rim replacement - (SOS - 12:48),
Monday Utility Section 23-02-2026,Central,LD0572,,Partial (64.0%),"Not Starting, Emergency brake knob broken off, Ball joint - (SOS - 08:53)",
Monday Utility Section 23-02-2026,Construction,LD0574,,Partial (71.2%),Head lights / Strata / Not Accelerating - (08:13 - 10:31),
Monday Utility Section 23-02-2026,Construction,LD0606,,Partial (15.0%),Rim replacement - (SOS - 12:48),
Monday Utility Section 23-02-2026,Traimming,LD0608,,Partial (56.0%),Lights - (10:29 - EOS),
Monday Utility Section 23-02-2026,Main West,LD0611,,Partial (90.0%),Lights - (11:44 - 12:32),
Monday Utility Section 23-02-2026,Mechanics,LD0614,,Partial (16.2%),Not accelerating - (SOS - 12:42),
Monday Utility Section 23-02-2026,Plant Fitter,LD0620,,Partial (0.0%),Strata / main switch - (SOS - EOS),
Monday Utility Section 23-02-2026,Training Center,LD0624,,Partial (83.8%),Strata - (09:22 - 10:40),
Monday Utility Section 23-02-2026,Electricians,LD0626,,Partial (60.8%),No acceleration - (07:32 - 10:40),
Monday Utility Section 23-02-2026,Drill Shop,LD0635,,Partial (79.6%),Not Starting - 08:55 - 10:33),
Monday Utility Section 23-02-2026,Logistics,UV0116,,Not Available,Front axle - (SOS - EOS),
Monday Utility Section 23-02-2026,BEV,LD0645,,Partial (86.2%),Strata - (12:52 - 13:58),
Tuesday Utility Section 24-02-2026,BEV,LD0375,,Not Available,Clutch / Rear shock - (SOS - EOS),
Tuesday Utility Section 24-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Tuesday Utility Section 24-02-2026,Main West,LD0520,,Partial (0.0%),Front axle - (SOS - 14:35),
Tuesday Utility Section 24-02-2026,Construction,LD0574,,Partial (39.6%),Not Starting - (09:10 - EOS),
Tuesday Utility Section 24-02-2026,Main West,LD0611,,Partial (89.6%),Strata - (09:11 - 10:01),
Tuesday Utility Section 24-02-2026,Central,LD0625,,Partial (88.8%),Strata - 08:16 - 09:10),
Tuesday Utility Section 24-02-2026,Electricians,LD0626,,Partial (18.3%),N ot accelerating - (SOS - 12:32),
Tuesday Utility Section 24-02-2026,Sampling,UV0074,,Partial (50.0%),Outriggers - (SOS - 09:25) Engine cut off - (13:25 -EOS),
Tuesday Utility Section 24-02-2026,Plant Fitter,UV0088,,Partial (92.9%),Exhaust Flex hose - (09:36 - 10:10),
Tuesday Utility Section 24-02-2026,Logistics,UV0116,,Not Available,Front axle - (SOS - EOS),Waiting for front axle.
Wednesday Utility Section 25-02-2026,BEV,LD0375,,Not Available,Clutch / Rear shock - (SOS - EOS),
Wednesday Utility Section 25-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Wednesday Utility Section 25-02-2026,Construction,LD0574,,Not Available,Not Starting - (SOS - EOS),
Wednesday Utility Section 25-02-2026,Construction,LD0606,,Not Available,Hub broken off - (12:20 - EOS),
Wednesday Utility Section 25-02-2026,Traimming,LD0608,,Partial (49.0%),Not accelerating - (SOS - 10:05),
Wednesday Utility Section 25-02-2026,Sim 2,LD0622,,Not Available,Transfer box leaking oil - (13:22 - EOS),
