Fleet,Planned,Actual,Compliance,Target,Compliance %,Reasons for Non-Compliance
FL,0,0,#DIV/0!,0.95,#DIV/0!,
DT,1,1,1,0.95,100.0%,09H30
HD,2,2,1,0.95,100.0%,Yes
RT,2,2,1,0.95,100.0%,25/02/2026
SR,0,0,#DIV/0!,0.95,#DIV/0!,
UV Emulsion Units,1,1,1,0.95,100.0%,UV0067
Support Equipment,3,,0,0.95,0.0%,08H30
