Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,75.0%,93.0%,96.0%,98.0%,98.0%,92.0%,
RT,92.0%,89.0%,91.0%,90.0%,67.0%,85.8%,RT 0045 Power trip
SR,100.0%,99.0%,96.0%,95.0%,96.0%,97.2%,
DT Diesel,56.0%,76.0%,76.0%,72.0%,66.0%,69.2%,RT0046 / RT0060
FL Diesel,99.0%,93.0%,92.0%,98.0%,99.0%,96.2%,
Average,,,,,,88.1%,
