Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
DT,77.0%,86.0%,73.0%,87.0%,94.0%,83.4%,
FL,91.0%,83.0%,86.0%,82.0%,75.0%,83.4%,
HD,93.0%,96.0%,97.0%,83.0%,92.0%,92.2%,
RT,87.0%,92.0%,94.0%,86.0%,88.0%,89.4%,
SR,99.0%,79.0%,86.0%,95.0%,95.0%,90.8%,
