Availability,Target,ProdYear,Month
92%,85%,2026,Sep
90%,85%,2026,Oct
95%,85%,2026,Nov
95%,85%,2026,Dec
86%,85%,2026,Jan
88%,85%,2026,Feb
83%,85%,2026,Mar
