Earliest Date,Latest Date,Availability,Machine_id,Equipment Type,First Equipment Type
2026-02-16 00:00:00,2026-02-22 00:00:00,99%,DT0146,DT,DT
2026-02-16 00:00:00,2026-02-22 00:00:00,51%,DT0147,DT,DT
2026-02-16 00:00:00,2026-02-22 00:00:00,99%,DT0149,DT,DT
2026-02-16 00:00:00,2026-02-22 00:00:00,97%,DT0150,DT,DT
2026-02-16 00:00:00,2026-02-22 00:00:00,94%,DT0162,DT,DT
2026-02-16 00:00:00,2026-02-22 00:00:00,62%,DT0163,DT,DT
2026-02-16 00:00:00,2026-02-22 00:00:00,0%,DT0171,DT,DT
2026-02-16 00:00:00,2026-02-22 00:00:00,43%,DT0172,DT,DT
