Date,Area_Owner,TMM_No,Model,Status,Remarks,OEM_Assistance
Monday Utility Section 16-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Monday Utility Section 16-02-2026,Main West,LD0520,,Not Available,Front axle - (SOS - EOS),Waiting for parts
Monday Utility Section 16-02-2026,Electricians,LD0569,,Not Available,Center portion - (SOS - EOS),Waiting for parts
Monday Utility Section 16-02-2026,Central,LD0572,,Not Available,"Not Starting, Emergency brake knob broken off, Ball joint - (SOS - EOS)",Waiting for parts
Monday Utility Section 16-02-2026,Plant Fitter,LD0620,,Not Available,"Strata (Surface decline & No acces to the gat, its locked ) (Strata techcian refused to go with - (SOS - EOS)",
Monday Utility Section 16-02-2026,Logistics,UV0078,,Not Available,Front propshaft -  (SOS - EOS),Waiting for parts
Tuesday Utility Section 17-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Tuesday Utility Section 17-02-2026,Main West,LD0520,,Not Available,Front axle - (SOS - EOS),Waiting for parts
Tuesday Utility Section 17-02-2026,Central,LD0572,,Not Available,"Not Starting, Emergency brake knob broken off, Ball joint - (SOS - EOS)",Waiting for parts
Tuesday Utility Section 17-02-2026,Plant Fitter,LD0620,,Not Available,"Strata (Surface decline & No acces to the gat, its locked ) (Strata techcian refused to go with - (SOS - EOS)",
Tuesday Utility Section 17-02-2026,Logistics,UV0078,,Not Available,Front propshaft -  (SOS - EOS),Waiting for parts / Prop shaft to be delivered on the 18/02/2026
Wednesday Utility Section 18-02-2026,BEV,LD0375,,Not Available,Clutch / Missing shock - (07:27 - EOS),
Wednesday Utility Section 18-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Wednesday Utility Section 18-02-2026,Main West,LD0520,,Not Available,Front axle - (SOS - EOS),Waiting for parts
Wednesday Utility Section 18-02-2026,Central,LD0572,,Not Available,"Not Starting, Emergency brake knob broken off, Ball joint - (SOS - EOS)",Waiting for parts
Wednesday Utility Section 18-02-2026,Plant Fitter,LD0620,,Not Available,"Strata (Surface decline & No acces to the gat, its locked ) (Strata techcian refused to go with - (SOS - EOS)",
Wednesday Utility Section 18-02-2026,Logistics,UV0078,,Not Available,Front propshaft -  (SOS - EOS),Waiting for parts / Prop shaft to be delivered on the 18/02/2026
Thursday Utility Section 19-02-2026,BEV,LD0375,,Not Available,Clutch / Missing shock - (SOS - EOS),
Thursday Utility Section 19-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Thursday Utility Section 19-02-2026,Main West,LD0520,,Not Available,Front axle - (SOS - EOS),Waiting for parts
Thursday Utility Section 19-02-2026,Central,LD0572,,Not Available,"Not Starting, Emergency brake knob broken off, Ball joint - (SOS - EOS)",Waiting for parts
Thursday Utility Section 19-02-2026,Plant Fitter,LD0620,,Not Available,Strata / main switch - (SOS - EOS),
Thursday Utility Section 19-02-2026,Logistics,UV0078,,Not Available,Front propshaft -  (SOS - EOS),Waiting for parts / Prop shaft to be delivered on the 18/02/2026
Friday Utility Section 20-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Friday Utility Section 20-02-2026,Plant Fitter,LD0620,,Not Available,"Strata (Surface decline & No acces to the gat, its locked ) - (SOS - EOS)",
Friday Utility Section 20-02-2026,Logistics,UV0078,,Not Available,Rear axle -  (SOS - EOS),
