Earliest Date,Latest Date,Availability,Machine_id,Equipment Type,First Equipment Type
2026-02-16 00:00:00,2026-02-22 00:00:00,66%,FL0098,FL,FL
2026-02-16 00:00:00,2026-02-22 00:00:00,100%,FL0099,FL,FL
2026-02-16 00:00:00,2026-02-22 00:00:00,95%,FL0107,FL,FL
2026-02-16 00:00:00,2026-02-22 00:00:00,84%,FL0108,FL,FL
2026-02-16 00:00:00,2026-02-22 00:00:00,97%,FL0112,FL,FL
2026-02-16 00:00:00,2026-02-22 00:00:00,96%,FL0113,FL,FL
