Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
15/02/2026,,,,,,,
21/02/2026,,,,,,,
DT,81.0%,82.0%,79.0%,85.0%,88.0%,83.0%,DT121 - Technician busy on site
FL,90.0%,88.0%,92.0%,76.0%,95.0%,88.2%,
