Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,97.0%,97.0%,98.0%,94.0%,71.0%,91.4%,HD0060 - PERCUSSION; HD0059 - OIL COOLER
RT,97.0%,97.0%,95.0%,87.0%,69.0%,89.0%,RT0037 - HYDRAULIC HOSE; RT0045 - NOZZLE; RT0060 - HYDRAULIC HOSE
SR,98.0%,100.0%,74.0%,58.0%,83.0%,82.6%,SR0040 - CAS LEVEL 9 INSTALLATION
DT Diesel,66.0%,58.0%,71.0%,63.0%,47.0%,61.0%,DT0174 - NO REVS; DT0173 - TRANSMISSION TIMING; DT0106 - NEROSPEC; DT0152 - POWERLESS; DT0153 - NO ACCELERATION
FL Diesel,100.0%,100.0%,87.0%,57.0%,84.0%,85.6%,
Average,,,,,,81.9%,
