Date,Area_Owner,TMM_No,Model,Status,Remarks,OEM_Assistance
Friday Utility Section 20-02-2026,BEV,LD0375,,Not Available,Clutch / Missing shock - (SOS - EOS),
Friday Utility Section 20-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Friday Utility Section 20-02-2026,Main West,LD0520,,Not Available,Front axle - (SOS - EOS),Waiting for parts
Friday Utility Section 20-02-2026,Mechanics,LD0570,,Not Available,Level 9 commisioning,
Friday Utility Section 20-02-2026,Central,LD0572,,Not Available,"Not Starting, Emergency brake knob broken off, Ball joint - (SOS - EOS)",Waiting for parts
